city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,16
sj,2008,20,14
sj,2008,21,22
sj,2008,22,15
sj,2008,23,13
sj,2008,24,12
sj,2008,25,19
sj,2008,26,16
sj,2008,27,19
sj,2008,28,30
sj,2008,29,37
sj,2008,30,26
sj,2008,31,43
sj,2008,32,48
sj,2008,33,91
sj,2008,34,28
sj,2008,35,59
sj,2008,36,148
sj,2008,37,51
sj,2008,38,46
sj,2008,39,55
sj,2008,40,53
sj,2008,41,52
sj,2008,42,40
sj,2008,43,45
sj,2008,44,81
sj,2008,45,40
sj,2008,46,54
sj,2008,47,56
sj,2008,48,50
sj,2008,49,126
sj,2008,50,36
sj,2008,51,33
sj,2008,52,34
sj,2009,1,41
sj,2009,2,35
sj,2009,3,40
sj,2009,4,34
sj,2009,5,40
sj,2009,6,23
sj,2009,7,22
sj,2009,8,21
sj,2009,9,21
sj,2009,10,16
sj,2009,11,16
sj,2009,12,14
sj,2009,13,11
sj,2009,14,13
sj,2009,15,10
sj,2009,16,11
sj,2009,17,11
sj,2009,18,10
sj,2009,19,18
sj,2009,20,13
sj,2009,21,13
sj,2009,22,15
sj,2009,23,10
sj,2009,24,16
sj,2009,25,16
sj,2009,26,12
sj,2009,27,30
sj,2009,28,26
sj,2009,29,27
sj,2009,30,29
sj,2009,31,36
sj,2009,32,53
sj,2009,33,35
sj,2009,34,44
sj,2009,35,94
sj,2009,36,120
sj,2009,37,79
sj,2009,38,70
sj,2009,39,49
sj,2009,40,78
sj,2009,41,69
sj,2009,42,68
sj,2009,43,34
sj,2009,44,110
sj,2009,45,69
sj,2009,46,38
sj,2009,47,45
sj,2009,48,45
sj,2009,49,121
sj,2009,50,37
sj,2009,51,41
sj,2009,52,102
sj,2010,53,100
sj,2010,1,44
sj,2010,2,33
sj,2010,3,47
sj,2010,4,40
sj,2010,5,31
sj,2010,6,32
sj,2010,7,17
sj,2010,8,32
sj,2010,9,38
sj,2010,10,35
sj,2010,11,17
sj,2010,12,15
sj,2010,13,13
sj,2010,14,13
sj,2010,15,9
sj,2010,16,12
sj,2010,17,26
sj,2010,18,21
sj,2010,19,11
sj,2010,20,18
sj,2010,21,15
sj,2010,22,149
sj,2010,23,131
sj,2010,24,79
sj,2010,25,58
sj,2010,26,75
sj,2010,27,163
sj,2010,28,177
sj,2010,29,84
sj,2010,30,65
sj,2010,31,116
sj,2010,32,167
sj,2010,33,130
sj,2010,34,146
sj,2010,35,110
sj,2010,36,117
sj,2010,37,93
sj,2010,38,46
sj,2010,39,49
sj,2010,40,83
sj,2010,41,85
sj,2010,42,39
sj,2010,43,53
sj,2010,44,60
sj,2010,45,57
sj,2010,46,40
sj,2010,47,37
sj,2010,48,32
sj,2010,49,47
sj,2010,50,41
sj,2010,51,38
sj,2011,52,62
sj,2011,1,34
sj,2011,2,50
sj,2011,3,43
sj,2011,4,33
sj,2011,5,27
sj,2011,6,20
sj,2011,7,24
sj,2011,8,22
sj,2011,9,28
sj,2011,10,15
sj,2011,11,15
sj,2011,12,11
sj,2011,13,13
sj,2011,14,11
sj,2011,15,11
sj,2011,16,11
sj,2011,17,10
sj,2011,18,12
sj,2011,19,20
sj,2011,20,16
sj,2011,21,19
sj,2011,22,18
sj,2011,23,24
sj,2011,24,146
sj,2011,25,128
sj,2011,26,88
sj,2011,27,73
sj,2011,28,75
sj,2011,29,34
sj,2011,30,119
sj,2011,31,47
sj,2011,32,181
sj,2011,33,102
sj,2011,34,185
sj,2011,35,77
sj,2011,36,51
sj,2011,37,49
sj,2011,38,40
sj,2011,39,46
sj,2011,40,145
sj,2011,41,125
sj,2011,42,35
sj,2011,43,38
sj,2011,44,55
sj,2011,45,51
sj,2011,46,38
sj,2011,47,44
sj,2011,48,40
